taxon,resolution,phylum,class,subclass,order,family,subfamily,genus,species
Chelicorophium,genus,Arthropoda,Malacostraca,NA,Amphipoda,Corophiidae,NA,Chelicorophium,NA
Ameletus,genus,Arthropoda,Insecta,NA,Ephemeroptera,Ameletidae,NA,Ameletus,NA
Cordulegaster,genus,Arthropoda,Insecta,NA,Odonata,Cordulegastridae,NA,Cordulegaster,NA
Elodes,genus,Arthropoda,Insecta,NA,Coleoptera,Scirtidae,NA,Elodes,NA
Ecnomus,genus,Arthropoda,Insecta,NA,Trichoptera,Ecnomidae,NA,Ecnomus,NA
Drusus,genus,Arthropoda,Insecta,NA,Trichoptera,Limnephilidae,NA,Drusus,NA
Halesus,genus,Arthropoda,Insecta,NA,Trichoptera,Limnephilidae,NA,Halesus,NA
Chaetocladius,genus,Arthropoda,Insecta,NA,Diptera,Chironomidae,Orthocladiinae,Chaetocladius,NA
